City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Jaisalmer,26.9147,70.9181,85.48,16,0,10.0,IN,1619291375
Norman Wells,65.282,-126.8329,33.8,47,75,5.75,CA,1619290856
Necoclí,8.4234,-76.786,85.35,66,24,7.83,CO,1619291375
Kayseri Province,38.737,35.4968,60.8,44,0,1.14,TR,1619291376
Padang,-0.9492,100.3543,76.71,87,89,2.3,ID,1619291247
Berbérati,4.2612,15.7922,73.8,77,74,3.31,CF,1619291376
Rio Grande,-32.035,-52.0986,74.59,64,40,8.05,BR,1619291318
Ulaangom,49.9811,92.0667,34.43,43,100,13.94,MN,1619291376
Coyhaique,-45.5752,-72.0662,55.4,67,75,3.44,CL,1619290870
Fare,-16.7,-151.0167,79.93,72,100,6.51,PF,1619290990
Bayanday,53.0661,105.5139,33.15,99,100,1.7,RU,1619291377
Victor Harbor,-35.5667,138.6167,57.99,82,36,4.5,AU,1619291377
Hambantota,6.1241,81.1185,77.0,100,20,2.3,LK,1619290860
Westport,41.1415,-73.3579,67.57,24,1,16.11,US,1619291306
Chagoda,59.164,35.3285,37.49,91,100,6.49,RU,1619291378
Ayan,56.45,138.1667,21.83,77,36,9.82,RU,1619291378
Turukhansk,65.8167,87.9833,31.82,99,100,5.23,RU,1619291379
Musoma,-1.5,33.8,69.89,85,100,5.39,TZ,1619291379
Novo Aripuanã,-5.1206,-60.3797,86.94,71,62,0.76,BR,1619291379
Puerto Nariño,-3.7703,-70.3831,80.6,89,40,3.44,CO,1619291379
Lebu,-37.6167,-73.65,57.58,69,0,17.43,CL,1619290853
Sawākin,19.1059,37.3321,84.31,58,85,7.47,SD,1619291380
Santa Maria,-29.6842,-53.8069,66.2,100,90,3.44,BR,1619291380
Torbay,47.6666,-52.7314,53.6,35,40,25.32,CA,1619290813
Bubaque,11.2833,-15.8333,78.37,69,15,22.21,GW,1619290975
Walvis Bay,-22.9575,14.5053,60.8,82,0,6.91,NA,1619291381
Faya,18.3851,42.4509,58.1,72,75,16.11,SA,1619290882
Kirakira,-10.4544,161.9205,78.84,82,100,2.75,SB,1619290913
Souillac,-20.5167,57.5167,78.8,83,75,17.27,MU,1619290920
Sabha,27.0377,14.4283,80.67,22,0,15.23,LY,1619291381
Qandala,11.472,49.8728,86.0,64,76,6.13,SO,1619291382
Kamaishi,39.2667,141.8833,52.34,61,100,6.64,JP,1619290882
Saint Anthony,45.0205,-93.218,42.87,53,75,10.36,US,1619291273
Kemijärvi,66.7131,27.4306,32.74,95,100,8.55,FI,1619291382
Tuktoyaktuk,69.4541,-133.0374,23.0,80,40,6.91,CA,1619290832
Inírida,3.8653,-67.9239,84.88,78,97,0.81,CO,1619291383
Riohacha,11.5444,-72.9072,87.98,59,100,13.51,CO,1619291383
Lander,42.833,-108.7307,49.66,43,1,6.91,US,1619291377
Portland,45.5234,-122.6762,48.97,81,90,9.22,US,1619291313
Atar,20.5169,-13.0499,92.48,10,0,12.3,MR,1619290932
Pindobaçu,-10.7417,-40.3608,80.65,68,94,7.56,BR,1619291384
Kulhudhuffushi,6.6221,73.07,83.5,72,16,3.44,MV,1619291351
La Ronge,55.1001,-105.2842,25.7,46,100,5.75,CA,1619290852
Korem,12.5058,39.5228,63.54,42,100,7.47,ET,1619291385
Bowen,-20.0167,148.2333,68.0,94,90,11.5,AU,1619291281
The Valley,18.217,-63.0578,83.71,65,40,12.66,AI,1619291302
Prince Rupert,54.3161,-130.3201,48.18,76,1,6.91,CA,1619290989
Bibiani,6.4635,-2.3194,80.01,77,95,4.03,GH,1619291385
Moose Factory,51.2585,-80.6094,25.68,68,90,11.5,CA,1619291263
Renqiu,38.6989,116.0936,53.44,77,100,4.9,CN,1619291111
La Fria,8.2203,-72.2439,89.6,55,40,13.8,VE,1619291386
Port-Gentil,-0.7193,8.7815,82.4,83,75,5.75,GA,1619291305
Challapata,-18.9,-66.7667,56.57,17,1,15.68,BO,1619291386
Flin Flon,54.7682,-101.865,28.4,40,75,5.75,CA,1619291387
Mastic Beach,40.7668,-72.8521,63.37,30,1,11.5,US,1619291387
San Patricio,28.017,-97.5169,95.0,11,1,16.11,US,1619291229
Phang Nga,8.4509,98.5298,81.32,83,20,10.36,TH,1619291388
Waynesville,35.4887,-82.9887,50.02,72,100,7.0,US,1619291243
Gualeguay,-33.1416,-59.3097,72.66,61,33,11.92,AR,1619291388
Naze,28.3667,129.4833,64.09,70,99,19.1,JP,1619290804
Nanortalik,60.1432,-45.2371,41.86,74,100,8.1,GL,1619290878
Barentu,15.1139,37.5928,87.51,24,89,6.24,ER,1619291389
Avarua,-21.2078,-159.775,80.6,74,20,13.8,CK,1619290832
Jimeta,9.2833,12.4667,83.17,59,100,0.6,NG,1619291389
Babušnica,43.0597,22.4117,51.93,46,0,3.44,RS,1619291390
Paamiut,61.994,-49.6678,38.86,73,100,8.37,GL,1619290988
Hofn,64.2539,-15.2082,47.26,83,100,6.4,IS,1619291390
Kununurra,-15.7667,128.7333,57.2,77,9,5.64,AU,1619290900
Longyearbyen,78.2186,15.6401,26.6,63,75,3.44,SJ,1619290884
Sitka,57.0531,-135.33,51.8,40,1,5.75,US,1619290871
Vyyezdnoye,55.3815,43.7864,38.07,94,100,14.05,RU,1619291391
Bosaso,11.2842,49.1816,84.69,69,69,1.52,SO,1619291282
Cherskiy,68.75,161.3,17.47,95,95,10.33,RU,1619290886
Elliot Lake,46.3834,-82.6331,55.4,41,75,13.8,CA,1619291392
Fort Nelson,58.8053,-122.7002,41.0,33,40,5.75,CA,1619291392
Faanui,-16.4833,-151.75,80.44,73,100,9.69,PF,1619291241
Puerto Ayora,-0.7393,-90.3518,80.22,74,75,16.11,EC,1619290834
Setermoen,68.861,18.3486,32.0,55,75,5.75,NO,1619291392
Kampot,10.6167,104.1833,80.6,89,40,6.91,KH,1619291393
Rafrāf,37.1904,10.1837,59.9,63,0,2.3,TN,1619291393
Bahār,34.9072,48.4414,57.97,47,0,1.88,IR,1619291393
Talnakh,69.4865,88.3972,30.42,97,100,13.71,RU,1619290978
Hualmay,-11.0964,-77.6139,72.39,72,9,10.71,PE,1619291394
Barrow,71.2906,-156.7887,24.8,80,1,4.32,US,1619290787
Anadyr,64.75,177.4833,32.0,93,75,15.66,RU,1619290829
Koutiala,12.3917,-5.4642,98.6,17,48,4.61,ML,1619291394
Bathsheba,13.2167,-59.5167,84.2,58,40,19.57,BB,1619290866
Saldanha,-33.0117,17.9442,64.4,63,100,8.05,ZA,1619290933
Tiarei,-17.5333,-149.3333,82.2,69,75,6.91,PF,1619291260
Khartoum,15.5518,32.5324,97.0,21,3,3.0,SD,1619291395
Beyneu,45.3167,55.2,62.37,39,100,5.97,KZ,1619291395
Noumea,-22.2763,166.4572,75.63,94,75,2.3,NC,1619290934
Tual,-5.6667,132.75,84.49,66,100,16.06,ID,1619290856
Caravelas,-17.7125,-39.2481,79.86,71,69,5.68,BR,1619290953
Esperance,-33.8667,121.9,59.0,72,44,14.97,AU,1619290957
Río Gallegos,-51.6226,-69.2181,62.6,36,0,3.44,AR,1619291323
Danville,36.586,-79.395,54.37,94,90,3.0,US,1619291231
Lüderitz,-26.6481,15.1594,62.08,85,7,5.28,NA,1619291316
Zambezi,-13.5432,23.1047,71.8,53,100,3.98,ZM,1619291396
Leningradskiy,69.3833,178.4167,22.5,91,100,5.12,RU,1619290834
Port Elizabeth,-33.918,25.5701,59.0,94,0,6.91,ZA,1619290843
Sagua de Tánamo,20.5819,-75.2414,91.8,45,23,7.92,CU,1619291397
Machiques,10.0644,-72.545,96.8,37,51,1.66,VE,1619291397
Quelimane,-17.8786,36.8883,75.09,83,20,3.44,MZ,1619291398
Saint George,37.1041,-113.5841,78.8,18,100,1.01,US,1619290788
Atlantic Beach,30.3344,-81.3987,79.14,83,75,24.16,US,1619291326
Morehead,37.2711,-87.1764,51.93,93,90,8.05,US,1619290899
Vestmannaeyjar,63.4427,-20.2734,44.6,87,90,19.57,IS,1619291239
